
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
OneDrive.Sync.Service.exe     7976 Console                    1     45,796 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 Microsoft OneDrive Sync Service                                         
PhoneExperienceHost.exe       5012 Console                    1    130,144 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:02 .NET-BroadcastEventWindow.21af1a5.0                                     
msedge.exe                    7144 Console                    1     97,816 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:01 N/A                                                                     
msedge.exe                    9908 Console                    1     10,060 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
msedge.exe                    3232 Console                    1     35,196 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 OleMainThreadWndName                                                    
msedge.exe                    8080 Console                    1     21,804 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
msedge.exe                     888 Console                    1     16,640 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
msedge.exe                    4004 Console                    1     16,500 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
svchost.exe                   5536 Services                   0      8,776 K Unknown         N/A                                                     0:00:00 N/A                                                                     
explorer.exe                   292 Console                    1    160,688 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:07 N/A                                                                     
StartMenuExperienceHost.e     6232 Console                    1     66,408 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 Start                                                                   
TextInputHost.exe             6940 Console                    1     40,488 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 Microsoft Text Input Application                                        
SearchApp.exe                 5492 Console                    1    201,584 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:02 Search                                                                  
ShellExperienceHost.exe       3428 Console                    1     51,944 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 Jump List for Windows PowerShell                                        
SearchApp.exe                10100 Console                    1     50,336 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 News and interests                                                      
msedgewebview2.exe            8916 Console                    1     82,832 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
msedgewebview2.exe            2912 Console                    1      6,640 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
msedgewebview2.exe            1880 Console                    1     30,304 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 OleMainThreadWndName                                                    
msedgewebview2.exe            1400 Console                    1     32,540 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
msedgewebview2.exe            5540 Console                    1     50,932 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
msedgewebview2.exe            7516 Console                    1     16,200 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
RuntimeBroker.exe             7628 Console                    1     18,564 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 OleMainThreadWndName                                                    
svchost.exe                   9456 Services                   0      7,856 K Unknown         N/A                                                     0:00:00 N/A                                                                     
FileCoAuth.exe                1264 Console                    1     26,876 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 OleMainThreadWndName                                                    
svchost.exe                   8732 Services                   0      7,504 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   4596 Services                   0     16,488 K Unknown         N/A                                                     0:00:00 N/A                                                                     
SearchProtocolHost.exe        2560 Console                    1      8,484 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
SearchFilterHost.exe          2492 Services                   0      8,936 K Unknown         N/A                                                     0:00:00 N/A                                                                     
SearchProtocolHost.exe        6608 Services                   0     14,404 K Unknown         N/A                                                     0:00:00 N/A                                                                     
smartscreen.exe               4188 Console                    1     23,464 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 OleMainThreadWndName                                                    
notepad.exe                   8776 Console                    1     40,836 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 enum - Notepad                                                          
cmd.exe                       2832 Console                    1      4,812 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
tasklist.exe                  7392 Console                    1     10,032 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
WmiPrvSE.exe                  1800 Services                   0      9,580 K Unknown         N/A                                                     0:00:00 N/A                                                                     
